category,user_input,expected_output
Sobre LAB10,"¿Qué es LAB10?","LAB10 es la comunidad de AI builders más grande de Latinoamérica. Ayuda a personas hispanohablantes a aprender, construir y lanzar proyectos con IA mediante clases en vivo, retos prácticos y programas formativos. Su filosofía es que la IA es una habilidad que cualquier persona puede desarrollar."
Sobre LAB10,"que es lab10?","LAB10 es la comunidad de AI builders más grande de Latinoamérica. Ayuda a personas hispanohablantes a aprender, construir y lanzar proyectos con IA, entendiendo la IA como una habilidad que cualquier persona puede desarrollar."
Sobre LAB10,"Cuéntame sobre LAB10","LAB10 es la comunidad de AI builders más grande de Latinoamérica, enfocada en hispanohablantes. Ofrece clases en vivo, retos prácticos y programas formativos para que cualquier persona aprenda IA como una habilidad."
Sobre LAB10,"¿Cuál es la misión de LAB10?","Convertir a Latinoamérica en una región protagonista de la era de la IA. Sus metas concretas son: llegar a 3 millones de miembros sin barrera de entrada, tener el mejor programa de educación para AI Builders en español, montar AI Labs que construyan productos reales con IA, y multiplicar el impacto regional vía educación, infraestructura y producto."
Sobre LAB10,"¿Cuál es el objetivo principal de LAB10?","Su misión es convertir a Latinoamérica en una región protagonista de la era de la IA, llegando a 3M de miembros, ofreciendo el mejor programa de educación en español, montando AI Labs y multiplicando impacto regional."
Sobre LAB10,"¿Quién fundó LAB10?","Entre los co-fundadores está Juan Sebastián Henao Parra (Juanse), Co-Founder & CTO. El equipo fundador es pequeño, de alrededor de 5 personas en etapa seed, e incluye a Valentina Ponce de León, host de las clases semanales y Co-Founder & CEO."
Sobre LAB10,"¿Quiénes son los founders?","Los co-fundadores incluyen a Juan Sebastián Henao Parra (Juanse, CTO) y Valentina Ponce de León (CEO). El equipo fundador es de aproximadamente 5 personas en etapa seed."
Sobre LAB10,"quien es juanse","Juan Sebastián Henao Parra (Juanse) es Co-Founder & CTO de LAB10. Su LinkedIn es /in/juanhenaoparra."
Sobre LAB10,"¿Dónde está ubicado LAB10?","LAB10 es una organización nativa digital y regional. Su raíz está en Colombia, pero opera en toda Latinoamérica, atendiendo audiencias de México, Colombia, Chile, Argentina, Perú y demás países hispanohablantes. Las clases se transmiten en horarios pensados para la región (6pm MX / 7pm CO / 9pm CL)."
Sobre LAB10,"¿LAB10 es solo de Colombia?","No. Aunque su raíz está en Colombia, LAB10 es una organización nativa digital y regional que opera en toda Latinoamérica, atendiendo audiencias de México, Colombia, Chile, Argentina, Perú y demás países hispanohablantes."
Sobre LAB10,"¿Qué tan grande es la comunidad de LAB10?","Aproximadamente 250K miembros en la comunidad global, más de 26K seguidores en Instagram (@lab10.ai), y más de 1,400 personas registradas en clases semanales individuales en plataformas como Luma. También tiene presencia activa en LinkedIn, YouTube e Instagram."
Sobre LAB10,"¿Cuántos miembros tiene LAB10?","Alrededor de 250K miembros en la comunidad global y más de 26K seguidores en Instagram. Más de 1,400 personas se registran semanalmente a clases individuales."
Aprendizaje,"¿Cómo puedo aprender con LAB10?","Hay varias vías, ordenadas de menor a mayor compromiso: 1) Clases gratuitas semanales los jueves vía Zoom/Luma; 2) Plataforma de comunidad en comunidad.lab10.ai; 3) Programa 10x Builder (pago e intensivo); 4) Contenido en YouTube e Instagram."
Aprendizaje,"¿Cómo empiezo a aprender IA con ustedes?","La forma más sencilla y de menor fricción es asistir a las clases gratuitas semanales de los jueves vía Zoom/Luma. También puedes unirte a comunidad.lab10.ai, seguir el contenido en YouTube e Instagram, o inscribirte al programa pago 10x Builder para algo más intensivo."
Aprendizaje,"¿Qué son las clases de los jueves?","Son sesiones prácticas semanales, gratuitas y abiertas, donde la comunidad aprende herramientas y conceptos clave de IA construyendo en vivo. Cubren temas como agentes, RAG, automatización con WhatsApp, vibe coding y más. Las hostea Valentina Ponce de León."
Aprendizaje,"¿Cuándo son las clases gratuitas?","Todos los jueves vía Zoom/Luma, en horarios pensados para Latinoamérica: 6pm México / 7pm Colombia / 9pm Chile."
Aprendizaje,"¿Las clases son gratis?","Sí. Las clases semanales de los jueves son gratuitas y abiertas. Se transmiten vía Zoom/Luma y las hostea Valentina Ponce de León."
Aprendizaje,"¿Qué es el programa 10x Builders?","10x Builder es el programa estructurado y pago de LAB10 para quienes ya pasaron las clases gratuitas y quieren un camino más profundo. Cubre conceptos fundamentales de IA y agentes, buenas prácticas de ingeniería con IA, colaboración efectiva con modelos y mindset de AI builder. Los instructores incluyen a Juanse, Valentina Ponce de León y Oscar Barajas, con dos rutas: cómo usar IA y cómo construir productos de IA."
Aprendizaje,"¿Quiénes dictan 10x Builders?","Los instructores incluyen a Juanse, Valentina Ponce de León y Oscar Barajas. El programa tiene dos rutas: cómo usar IA y cómo construir productos de IA."
Aprendizaje,"¿Necesito saber programar para entrar a LAB10?","No. Las clases gratuitas están diseñadas para cualquier nivel, incluyendo personas sin background técnico. Programas como 10x Builder tienen pistas tanto para principiantes como para quienes ya programan."
Aprendizaje,"soy principiante, puedo entrar?","Sí. No necesitas saber programar. Las clases gratuitas están abiertas a cualquier nivel, y el programa 10x Builder tiene una pista específica para principiantes."
Aprendizaje,"¿En qué idioma son los contenidos?","Todo el contenido es en español. Esa es una de las apuestas centrales de LAB10: ser la capa de curación y educación en español sobre el ecosistema global de IA."
Aprendizaje,"¿Tienen contenido en inglés?","No. Todo el contenido de LAB10 es en español, ya que su apuesta central es ser la capa de curación y educación en español sobre el ecosistema global de IA."
Empresas,"¿LAB10 trabaja con empresas?","Sí. LAB10 acompaña a empresas a volverse AI-First: forma equipos que usan y construyen con IA para resolver retos reales del negocio, no que solo 'saben de IA' en abstracto."
Empresas,"¿Qué incluye el acompañamiento empresarial?","Cuatro frentes principales: 1) Definición de visión y hoja de ruta AI-First con alineamiento del C-Suite; 2) Cambio de mindset y liderazgo del cambio; 3) Formación práctica en herramientas y agentes para que los líderes usen IA en sus flujos; 4) Identificación de casos de uso de alto impacto."
Empresas,"¿Con qué empresas trabaja LAB10?","Empresas medianas y grandes de la región que buscan transformación cultural alrededor de IA. Un caso conocido es Seguros Bolívar, donde el CIO Germán Sánchez ha participado en paneles sobre transformación cultural para adopción de IA."
Empresas,"¿Cuál es la diferencia de LAB10 con otras consultoras de IA?","LAB10 combina tres cosas que rara vez van juntas: una comunidad masiva de builders activos (no solo consultores), educación práctica que enseña haciendo (no en PowerPoint) y capacidad de construir producto con stack moderno (TypeScript, Cloudflare Workers, Supabase, OpenRouter). A diferencia de plataformas como Andela o Together.ai, su ventaja es ser la capa de curación y educación en español construida sobre la infraestructura global de IA."
Empresas,"¿Cómo contrato a LAB10 para mi empresa?","Para colaboraciones corporativas, el punto de entrada es lab10.ai/empresas. LAB10 acompaña a empresas a volverse AI-First con visión y hoja de ruta, cambio de mindset, formación práctica e identificación de casos de uso de alto impacto."
Tecnología,"¿Qué tecnologías usa LAB10?","LAB10 opera sobre un stack moderno y serverless-first: TypeScript + Node.js como lenguaje principal, Cloudflare Workers para la capa edge, Supabase como base de datos y backend, OpenRouter para acceso multi-modelo a LLMs, y n8n para prototipado rápido de automatizaciones."
Tecnología,"¿Cuál es el stack de LAB10?","TypeScript + Node.js, Cloudflare Workers, Supabase, OpenRouter y n8n para prototipado rápido."
Tecnología,"¿Qué productos construye LAB10?","Más allá de la educación, LAB10 construye: OpenClaw (sistema de agentes con memoria a largo plazo, logs JSONL diarios, capa semántica MEMORY.md y un sistema experimental de Dreaming para consolidación); Project Alter (una nueva plataforma para construir más fácilmente); Valentinita (agente interno para desarrollar criterio y vocabulario de diseño); y plataformas educativas como la del programa 10x Builders."
Tecnología,"¿Qué es OpenClaw?","OpenClaw es un sistema de agentes con memoria a largo plazo construido por LAB10. Incluye logs JSONL diarios, una capa semántica MEMORY.md y un sistema experimental de 'Dreaming' para consolidación de memoria."
Tecnología,"¿Qué es Project Alter?","Project Alter es una nueva plataforma de LAB10 para construir más fácilmente."
Tecnología,"¿Qué es Valentinita?","Valentinita es una herramienta interna de LAB10: un agente para desarrollar criterio y vocabulario de diseño."
